quote,entity 1,sentiment 1,confidence 1,entity 2,sentiment 2,confidence 2,entity 3,sentiment 3,confidence 3,entity 4,sentiment 4,confidence 4
"Rice is a very strategic and important commodity for our country which is tied into livelihood throughout the length and breadth of our country. No matter what we as Liberians eat daily, if we do not eat rice, it means we have not eaten. That speaks volume as to the necessity of this agreement,",rice,3,3,,,,,,,,,
"We have been many, many years where we have been getting rice wrong, and this is one key step in making sure that we get rice right and I will be very pleased to convey to President Weah that we are taking this step; we are reinforcing our relationship with the AfricaRice Center,",rice,3,2,,,,,,,,,
"It is therefore most pleasing that UCT s work has registered sufficiently internationally to be placed in the top 100,",UCT,3,3,,,,,,,,,
"Seed Co has released 3 000 tonnes of maize seed into the market. As you are aware, due to the huge demand for seed products as we approach the main farming season, seed is selling out faster than the limited deliveries available at the moment,",Seed Co,2,2,,,,,,,,,
The partnership on the organic farming project is just like the Yellow Maize Project with South African Breweries that is aim to address food insecurity in the province.,South African Breweries,3,1,,,,,,,,,
"We tested two Purity, two of Aspen and three Nestle products. None of the baby foods were labelled as containing products derived from genetically modified maize,",Purity,2,2,Aspen,2,2,Nestle,2,2,,,
"As a global food manufacturer, we take into consideration local needs and consumer preferences. It is for these reasons that all Nestle infant cereals manufactured in SA are now produced using non-GM maize,",Nestle,3,2,,,,,,,,,
"Purity Cream of Maize tested positive as containing 56.25% GM maize and its Baby First tested positive as containing 71.47% GM maize,",Purity,2,3,Cream of Maize,2,3,,,,,,
"Boeings success is a testament to the partnerships we hold with the finest aerospace suppliers in the world, such as CSIRO,",Boeing,3,2,CSIRO,3,2,,,,,,
"To cover the costs, we have to hike prices. A small box of chips was R10, but now we sell it for R15. Kota prices have also gone up by R2. Customers have been complaining, but there is little we can do. Potato prices are beyond our control,",potato prices,1,2,kota prices,1,2,,,,,,
"By following the five principles of RiceMAPP s water saving rice culture and using improved, certified and recommended seeds, higher production even from a single paddy is guaranteed,",RiceMAPP,3,2,,,,,,,,,
"Tomato production is capital intensive but the returns are good especially if you manage to keeps pests and diseases like root rot at bay,",tomato,4,3,,,,,,,,,
"We were 15 members. Each one of us contributed Sh1,000 which we used to buy improved cassava variety nodes from Kenya Agricultural Research Institute (Kari).",Kenya Agricultural Research Institute (Kari),3,2,,,,,,,,,
"Cassava can be used as a substitute of maize. We normally make flour and sell at Sh150 to Sh200 a kilo,",cassava,3,2,,,,,,,,,
"Cassava is drought-resistant and a good alternative to maize. However, one should grow good varieties that are not attacked by cassava diseases or cyanide.",cassava,4,3,,,,,,,,,
"The seed supply contracts for both soyabean and maize will be finalised by end of July 2021 and the companies being engaged include SeedCo, K2, ARDA, Zadzamatura, Syngenta and Agriseeds. In addition, AFC and CBZ should work on LCs for the fertiliser and chemical companies,",soybean,2,2,maize,2,2,AFC,2,2,CBZ,2,2
"In the infrastructure sector, a consortium of companies led by Queensland University of Technology, Australia, has been formed and is interested in signing a MoU with CII s National Mission on Smart Cities,",Queensland University of Technology,2,2,,,,,,,,,
"the provision of farm inputs, fertilizers, improved seeds and Agro chemicals to over 2000 Rice and Cassava farmers under the COVID-19 Action Recovery and Economic Stimulus (CARES).",COVID-19 Action Recovery and Economic Stimulus (CARES),3,3,,,,,,,,,
"It is in a bid to give personality endorsement to the NCRIB brand, in consonance with the thrust of office of my leadership of the Council that few eminent Nigerians had been chosen as Brand Ambassador of the Council,",NCRIB,3,1,,,,,,,,,
"Overview of the Central and West African Virus Epidemiology (WAVE) Project and Status of Cassava Viral Disease in Nigeria,",Central and West African Virus Epidemiology (WAVE),2,2,,,,,,,,,
"Going down the history lane of Bt. Cowpea/Bean project in Nigeria, NABDA in carrying out her mandate of biotechnology facilitation, and as a requisite for compliance to biosafety regulation, in 2010/2011, in partnership with the African Agricultural Technology Foundation (AATF) Kenya, designed, constructed a level -2 containment facility, which was used for Biosafety containment studies at International Agricultural Research (IAR), Zaria, where this project was developed.",NABDA,2,2,African Agricultural Technology Foundation (AATF),2,2,,,,,,
"The promise of CRISPR-Cas9 technology in the hands of many will result in a wide array of benefits for the global food supply ranging from higher and more stable yields of grains, fruits and vegetables for farmers; more nutritious, healthier and affordable foods for consumers; and, improved sustainability of agricultural systems for society,",CRISPR-Cas9,3,3,,,,,,,,,
"It is profoundly important to ensure that this technology is made widely available for agriculture. By partnering with the Broad Institute, together we can maximize access to CRISPR-Cas9 around the world for the greater good.",CRISPR-Cas9,3,3,,,,,,,,,
"When DuPont Pioneer initially approached us to secure a license for commercial research, we both saw a unique opportunity to provide much broader access to the technology for agriculture,",DuPont Pioneer,3,2,,,,,,,,,
We applaud DuPont Pioneer for its commitment to advancing research and commercialization to accelerate progress in agriculture.,DuPont Pioneer,3,3,,,,,,,,,
"Guangdong Province is of strategic importance to BASF in Greater China,",BASF,2,2,,,,,,,,,
"We have upgraded the production and environmental protection facilities to meet BASF s standards,",BASF,3,2,,,,,,,,,
"Tobacco growing farmers must be given the necessary support to switch to alternative crops that have the potential to improve their health and livelihoods as well as reduce the supply of tobacco,",tobacco,2,2,,,,,,,,,
"I appreciate all the partners in the Tobacco Free Farms project for choosing Kenya and more specifically Migori County to pilot this important global initiative aimed at curtailing the adverse health, environmental and economic effects of tobacco growing & utilization,",Tobacco Free Farms,3,3,,,,,,,,,
"Since last year when ICRISAT researchers introduced us to this new variety and good production practices, we have benefitted a lot from good returns,",ICRISAT,3,3,,,,,,,,,
"Since most families do not have food and money to even buy maize, they go to the food bank to borrow sorghum and dried vegetables to cope,",maize,2,2,,,,,,,,,
"The traditional vegetables contain more nutrients and medicinal value compared to kales or cabbages. Cassava and sweet potatoes can remain in the farm for many years while the tubers are harvested and eaten. They too do not require plenty of rains,",traditional vegetables,3,2,cassava,3,2,potatoes,3,2,,,
"'Potato sector is often neglected as a crop for agricultural development and food security in the sub-Saharan Africa though it has a huge potential in poverty reduction,",potato,3,3,,,,,,,,,
"He created the retail experience that most people know now. He focused on the fan, he focused on the user experience, he did not focus on rights and complicated pricing schemes. We sell tens of millions of digital tracks each year, given that Apple has an 80 percent market share in that digital space when it comes to downloads, you really see how important Apple has become in selling music to music fans.",Apple,3,3,,,,,,,,,
"The way HIV is managed at UCT, if people test positive there are support structures, and they are wonderful,",UCT,3,3,,,,,,,,,
"I would like to study chemical engineering or biochemistry at the University of Cape Town,",University of Cape Town,2,3,,,,,,,,,
"Wheat is the cornerstone for food security in many of these countries,",wheat,2,3,,,,,,,,,
